,response,left_contrast,right_contrast,correct
193,-1.0,0.0,0.0,False
194,0.0,0.0,0.0,True
195,-1.0,0.0,1.0,True
196,1.0,0.25,0.0,True
197,1.0,0.5,0.0,True
198,-1.0,0.0,0.0,False
199,0.0,0.0,0.0,True
200,0.0,0.0,0.0,True
201,-1.0,0.25,0.5,True
202,-1.0,0.25,1.0,True
203,1.0,0.25,0.0,True
204,-1.0,0.0,0.5,True
205,1.0,1.0,0.25,True
206,-1.0,0.0,0.25,True
207,-1.0,0.0,0.0,False
208,0.0,0.0,0.0,True
209,-1.0,0.5,0.25,False
210,-1.0,0.0,1.0,True
211,1.0,1.0,0.5,True
212,-1.0,0.5,1.0,True
213,-1.0,0.0,0.0,False
214,0.0,0.0,0.0,True
215,-1.0,0.0,0.5,True
216,-1.0,0.0,0.0,False
217,0.0,0.0,0.0,True
218,1.0,1.0,0.0,True
219,-1.0,0.0,0.0,False
220,1.0,0.0,0.0,False
221,0.0,0.0,0.0,True
222,1.0,1.0,0.25,True
223,-1.0,0.0,0.25,True
224,-1.0,0.0,0.0,False
225,0.0,0.0,0.0,True
226,1.0,1.0,0.0,True
227,-1.0,0.0,0.0,False
228,0.0,0.0,0.0,True
229,0.0,0.0,0.0,True
230,-1.0,0.25,1.0,True
231,-1.0,0.0,1.0,True
232,1.0,0.0,0.0,False
233,0.0,0.0,0.0,True
234,-1.0,0.0,0.5,True
235,1.0,0.25,0.0,True
236,0.0,0.0,0.0,True
237,-1.0,0.0,1.0,True
238,1.0,0.5,0.0,True
239,-1.0,0.0,0.5,True
240,-1.0,0.0,0.0,False
241,0.0,0.0,0.0,True
242,-1.0,0.0,0.5,True
243,0.0,0.0,0.0,True
244,-1.0,0.0,0.0,False
245,0.0,0.0,0.0,True
246,0.0,0.25,0.0,False
247,1.0,0.5,0.0,True
248,-1.0,0.25,1.0,True
249,-1.0,0.0,0.5,True
250,0.0,0.0,0.0,True
251,0.0,0.0,0.0,True
252,1.0,0.0,0.0,False
253,0.0,0.0,0.0,True
254,0.0,0.0,0.0,True
255,-1.0,0.0,1.0,True
256,-1.0,0.0,1.0,True
257,-1.0,0.25,1.0,True
258,1.0,1.0,0.0,True
259,0.0,0.0,0.0,True
260,-1.0,0.0,0.5,True
261,-1.0,0.0,0.0,False
262,0.0,0.0,0.0,True
263,1.0,1.0,0.0,True
264,-1.0,0.0,0.25,True
265,-1.0,0.0,0.5,True
266,-1.0,0.0,0.0,False
267,0.0,0.0,0.0,True
268,-1.0,0.0,1.0,True
269,0.0,0.0,0.0,True
270,-1.0,0.0,0.0,False
271,-1.0,0.0,0.0,False
272,0.0,0.0,0.0,True
273,1.0,0.5,0.25,True
274,-1.0,0.0,1.0,True
275,0.0,0.0,0.25,False
276,-1.0,0.0,0.25,True
277,1.0,1.0,0.0,True
278,1.0,1.0,0.0,True
279,-1.0,0.0,0.0,False
280,-1.0,0.0,0.0,False
281,0.0,0.0,0.0,True
282,0.0,0.0,0.0,True
283,1.0,0.25,0.0,True
284,-1.0,0.0,0.5,True
285,-1.0,0.0,1.0,True
286,1.0,0.5,0.0,True
287,-1.0,0.0,0.0,False
288,0.0,0.0,0.0,True
289,-1.0,0.25,0.5,True
290,-1.0,0.0,0.5,True
291,1.0,0.25,0.0,True
292,0.0,0.0,0.0,True
293,0.0,0.5,0.0,False
294,0.0,0.0,0.0,True
295,1.0,1.0,0.0,True
296,-1.0,0.25,1.0,True
297,-1.0,0.0,0.0,False
298,0.0,0.0,0.0,True
299,-1.0,0.0,0.5,True
300,1.0,0.25,0.0,True
301,-1.0,0.25,0.5,True
302,-1.0,0.25,0.0,False
303,0.0,0.0,0.0,True
304,0.0,0.25,0.5,False
305,-1.0,0.0,0.0,False
306,0.0,0.0,0.0,True
307,1.0,1.0,0.25,True
308,0.0,1.0,0.5,False
309,0.0,0.0,0.25,False
310,1.0,1.0,0.0,True
311,1.0,0.5,0.0,True
312,-1.0,0.0,0.0,False
313,0.0,0.0,0.0,True
314,-1.0,0.0,0.25,True
315,-1.0,0.25,0.5,True
